DATE,START_HOUR,W_ERRORS,W_N,W_AVG,W_MED,W_MIN,W_MAX,W_RANGE,W_STDEV,B_HOUR,B_24CHANGE,
08/22/2012,10,,3580,0.014264,0.012,0.004,0.948,0.944,0.0213553,
08/23/2012,11,,3247,0.0247164,0.025,0.014,0.057,0.043,0.00454989,
08/25/2012,24,,3580,0.0472721,0.028,0.016,0.460,0.444,0.0470736,
08/27/2012,11,,3580,0.0217969,0.02,0.010,0.300,0.29,0.0102489,
08/29/2012,09,,2646,0.0309649,0.03,0.017,0.062,0.045,0.0044364,
08/30/2011,10,,3060,0.0169876,0.016,0.002,0.195,0.193,0.00996578,
08/30/2011,10,,3580,0.0159391,0.015,0.002,0.141,0.139,0.00570315,
08/30/2012,11,,3580,0.0234936,0.021,0.016,0.071,0.055,0.00727429,
08/30/2012,10,,2511,0.0208192,0.020,0.016,0.047,0.031,0.00309313,
09/05/2012,09,,2521,0.0342753,0.034,0.028,0.084,0.056,0.00344579,
09/06/2012,24,,2419,0.0256995,0.025,0.020,0.259,0.239,0.00678478,
09/12/2012,24,,2770,0.0175563,0.017,0.007,0.055,0.048,0.00300755,
09/12/2012,10,,3580,0.017081,0.015,0.009,0.175,0.166,0.00700795,
09/13/2011,10,,2970,0.0277791,0.027,0.023,0.102,0.079,0.00274488,
08/23/2011,11,,3580,0.0226265,0.023,0.002,0.118,0.116,0.00432292,
09/16/2011,14,,3508,0.0353683,0.02,0.015,21.6,21.585,0.422147,
09/20/2011,24,,3515,0.0197201,0.019,0.014,0.224,0.21,0.00508579,
09/20/2011,24,,3580,0.0171282,0.015,0.011,0.097,0.086,0.010879,
09/22/2010,15,,3580,0.0157307,0.013,0.010,1.39,1.38,0.0352387,
09/22/2011,10,,2657,0.0458991,0.048,0.019,0.083,0.064,0.00646321,
09/22/2011,10,,3466,0.0309709,0.034,0.000,0.320,0.32,0.0117631,
09/26/2012,10,,3019,0.0401862,0.040,0.015,1.49,1.475,0.0330308,
09/27/2011,10,,2964,0.0140557,0.013,0.009,0.075,0.066,0.00410119,
09/27/2011,13,,3580,0.015667,0.015,0.009,0.074,0.065,0.00500428,
09/27/2011,10,,3580,0.0248151,0.011,0.000,0.213,0.213,0.046715,
09/29/2011,09,,3008,0.00894215,0.009,0.005,0.154,0.149,0.00470132,
09/29/2011,10,,3580,0.00615698,0.006,0.000,0.876,0.876,0.0217475,
10/01/2012,09,,2608,0.0368106,0.036,0.023,0.108,0.085,0.00437437,
10/02/2012,13,,3079,0.0339886,0.034,0.028,0.096,0.068,0.00354027,
10/02/2012,16,,2634,0.0568573,0.03,0.024,29.3,29.276,0.713121,
10/03/2012,10,,3256,0.0398228,0.041,0.020,0.097,0.077,0.0065713,
10/03/2012,15,,3295,0.00239818,0.000,0.000,0.221,0.221,0.00986845,
10/04/2012,24,,3580,0.0168413,0.016,0.012,0.037,0.025,0.00260392,
04/10/2013,11,,3332,0.0087479,0.008,0.001,0.094,0.093,0.00605691,
10/06/2011,11,,2682,0.00752573,0.007,0.001,0.068,0.067,0.00432398,
10/07/2011,11,,2649,0.0202431,0.018,0.007,0.455,0.448,0.019833,
10/07/2011,11,,3580,0.014664,0.013,0.003,0.181,0.178,0.0122127,
10/08/2011,13,,3580,0.0211302,0.019,0.000,4.70,4.7,0.103127,
10/09/2012,24,,3580,0.0165522,0.011,0.006,2.82,2.814,0.0593797,
10/11/2011,24,,3489,0.0115993,0.010,0.001,6.15,6.149,0.13288,
10/11/2011,24,,3398,0.00981931,0.011,0.002,0.676,0.674,0.01666,
10/12/2010,17,,3580,0.0251821,0.025,0.019,0.089,0.07,0.00359023,
10/12/2010,17,,3580,0.0225508,0.022,0.014,0.230,0.216,0.00612262,
10/13/2011,24,,1677,0.0318801,0.032,0.020,0.045,0.025,0.00302769,
10/13/2011,24,,1667,0.0263077,0.026,0.015,0.046,0.031,0.00277394,
10/13/2012,13,,2979,0.00107788,0.000,0.000,0.264,0.264,0.00831597,
09/22/2010,15,,3580,0.0157307,0.013,0.010,1.39,1.38,0.0352387,
